reseller_id,onboarding_date,city_tier,total_gmv,orders_last_30_days,avg_order_value,category_focus,social_shares,buyer_network_size,return_rate,days_since_last_sale,completed_onboarding_training,engagement_score,monetization_score,churn_risk_score,reseller_segment_fixed
974,11/25/2024,Tier3,4181,0,589,Mixed,2,0,0.12,185,TRUE,41,44,65,Low-Engagement Reseller
975,7/22/2023,Tier2,2857,2,656,Fashion,176,49,0.08,5,FALSE,53,46,28,Social Catalyst
976,4/26/2024,Tier4+,6407,0,481,Mixed,1,0,0.11,54,FALSE,0,42,40,Ghost Reseller
977,1/8/2023,Tier4+,2887,2,326,Beauty,129,43,0.11,13,FALSE,39,33,29,Niche Specialist
978,4/3/2024,Tier4+,604,0,380,Home,2,5,0.15,90,FALSE,1,32,47,Low-Engagement Reseller
979,9/25/2023,Tier4+,510,0,407,Mixed,0,0,0.08,257,TRUE,40,34,79,Low-Engagement Reseller
980,4/3/2023,Tier4+,2445,1,470,Home,131,34,0.06,0,FALSE,39,39,29,Niche Specialist
981,11/1/2024,Tier2,1047,0,705,Fashion,5,4,0.06,167,FALSE,2,46,62,Low-Engagement Reseller
982,1/14/2023,Tier2,4056,0,571,Fashion,2,5,0.07,342,FALSE,1,44,96,Low-Engagement Reseller
983,3/21/2024,Tier3,4720,0,618,Fashion,0,5,0.11,164,FALSE,0,46,61,Low-Engagement Reseller
984,7/16/2024,Tier3,3381,0,408,Home,4,3,0.13,150,FALSE,1,36,59,Niche Specialist
985,3/17/2023,Tier2,25016,0,541,Home,1,0,0.09,209,FALSE,0,64,70,Ghost Reseller
986,1/17/2024,Tier3,2839,3,636,Home,24,10,0.05,15,FALSE,7,46,28,Niche Specialist
987,10/29/2023,Tier3,553,0,730,Home,2,3,0.1,345,FALSE,1,46,96,Low-Engagement Reseller
988,10/19/2024,Tier2,3386,0,523,Beauty,2,0,0.11,227,FALSE,1,41,74,Niche Specialist
989,8/14/2023,Tier4+,6816,0,795,Beauty,3,0,0.15,151,FALSE,1,54,59,Ghost Reseller
990,2/10/2023,Tier4+,1993,0,584,Fashion,1,3,0.06,50,FALSE,0,43,40,Low-Engagement Reseller
991,1/29/2023,Tier3,2393,1,446,Fashion,112,39,0.13,3,TRUE,74,37,29,Social Catalyst
992,11/2/2023,Tier2,7528,0,379,Fashion,4,2,0.05,261,TRUE,41,41,80,Ghost Reseller
993,8/17/2024,Tier2,765,1,703,Fashion,88,25,0.15,8,FALSE,26,44,30,Social Catalyst
994,12/12/2023,Tier4+,4727,1,529,Fashion,52,19,0.09,12,TRUE,56,43,31,Social Catalyst
995,8/7/2023,Tier4+,2002,4,560,Fashion,198,63,0.05,21,FALSE,59,42,28,Social Catalyst
996,7/26/2024,Tier4+,1042,0,578,Mixed,1,0,0.11,184,FALSE,0,41,65,Low-Engagement Reseller
997,3/4/2023,Tier4+,15040,0,694,Fashion,2,0,0.15,249,FALSE,1,58,78,Ghost Reseller
998,7/29/2024,Tier4+,53405,0,456,Fashion,2,0,0.08,80,TRUE,41,89,45,Ghost Reseller
999,5/26/2023,Tier2,2561,2,686,Home,76,27,0.13,12,TRUE,63,46,29,Niche Specialist
1000,9/10/2023,Tier3,4759,1,350,Fashion,78,27,0.11,10,TRUE,63,36,30,Social Catalyst
1001,5/4/2023,Tier2,9876,0,614,Home,0,3,0.07,231,FALSE,0,52,74,Ghost Reseller
1002,6/7/2023,Tier2,10001,0,415,Home,0,5,0.15,185,FALSE,0,43,65,Ghost Reseller
1003,2/27/2023,Tier3,1677,5,512,Mixed,155,49,0.09,27,FALSE,47,39,28,Low-Engagement Reseller
1004,7/14/2023,Tier2,6219,1,569,Fashion,79,20,0.07,25,FALSE,24,46,33,Social Catalyst
1005,2/19/2024,Tier3,2533,0,373,Fashion,2,0,0.11,100,FALSE,1,34,49,Low-Engagement Reseller
1006,7/5/2023,Tier4+,2303,1,428,Fashion,160,45,0.05,18,TRUE,88,37,32,Social Catalyst
1007,4/1/2024,Tier4+,2426,0,740,Mixed,2,1,0.13,243,TRUE,41,48,77,Low-Engagement Reseller
1008,4/5/2023,Tier2,2997,0,426,Home,2,6,0.11,87,FALSE,1,37,47,Niche Specialist
1009,5/8/2023,Tier3,4797,0,373,Fashion,1,2,0.12,191,TRUE,40,36,67,Low-Engagement Reseller
1010,5/7/2023,Tier3,2623,0,359,Fashion,2,3,0.06,47,FALSE,1,35,39,Low-Engagement Reseller
1011,11/22/2023,Tier3,3048,2,317,Fashion,181,49,0.15,14,TRUE,94,32,30,Social Catalyst
1012,10/17/2023,Tier2,4688,1,683,Beauty,70,19,0.09,15,FALSE,21,49,31,Niche Specialist
1013,9/7/2023,Tier3,24874,0,752,Beauty,4,5,0.12,352,FALSE,1,71,98,Ghost Reseller
1014,4/6/2024,Tier4+,13492,0,420,Fashion,1,0,0.09,61,TRUE,40,47,42,Ghost Reseller
1015,12/18/2024,Tier4+,1695,2,615,Beauty,37,12,0.1,30,FALSE,11,43,33,Low-Engagement Reseller
1016,10/14/2024,Tier2,1705,3,600,Home,83,20,0.05,16,TRUE,65,43,29,Low-Engagement Reseller
1017,1/19/2024,Tier3,3516,0,781,Home,3,5,0.15,43,TRUE,41,50,38,Niche Specialist
1018,9/10/2024,Tier2,2338,1,786,Fashion,159,51,0.11,24,FALSE,48,50,33,Social Catalyst
1019,6/12/2024,Tier3,1609,0,534,Home,0,4,0.13,321,FALSE,0,39,92,Low-Engagement Reseller
1020,2/17/2024,Tier4+,2869,0,774,Fashion,4,0,0.12,316,FALSE,1,49,91,Low-Engagement Reseller
1021,2/4/2024,Tier3,1017,1,496,Home,89,22,0.11,14,FALSE,27,37,31,Low-Engagement Reseller
1022,11/26/2024,Tier3,8858,5,740,Fashion,89,25,0.08,6,TRUE,67,55,24,Social Catalyst
1023,12/1/2024,Tier4+,2516,0,456,Beauty,3,3,0.15,197,FALSE,1,37,68,Niche Specialist
1024,5/15/2023,Tier3,4161,2,766,Fashion,98,33,0.12,18,FALSE,29,50,30,Social Catalyst
1025,9/17/2023,Tier3,16264,0,436,Beauty,5,7,0.12,266,FALSE,2,50,81,Ghost Reseller
1026,9/26/2024,Tier2,5785,5,461,Fashion,16,5,0.15,18,TRUE,45,40,26,Low-Engagement Reseller
1027,7/14/2023,Tier3,2049,1,756,Fashion,87,27,0.15,25,FALSE,26,47,33,Social Catalyst
1028,5/1/2023,Tier4+,1958,3,413,Fashion,138,41,0.06,12,TRUE,81,36,28,Social Catalyst
1029,6/7/2023,Tier2,1669,0,650,Home,1,0,0.12,356,FALSE,0,44,98,Low-Engagement Reseller
1030,4/22/2024,Tier2,2237,0,783,Fashion,5,3,0.13,80,FALSE,2,49,45,Low-Engagement Reseller
1031,4/21/2023,Tier3,679,0,366,Fashion,4,2,0.08,131,FALSE,1,33,55,Low-Engagement Reseller
1032,9/2/2024,Tier3,37576,0,638,Fashion,0,3,0.07,60,FALSE,0,80,42,Ghost Reseller
1033,4/10/2024,Tier2,2806,1,726,Fashion,160,52,0.08,28,FALSE,48,48,34,Social Catalyst
1034,7/11/2024,Tier3,7352,0,310,Beauty,2,1,0.08,251,FALSE,1,37,78,Ghost Reseller
1035,4/15/2023,Tier3,2322,0,752,Fashion,0,0,0.11,84,FALSE,0,48,46,Low-Engagement Reseller
1036,4/20/2024,Tier2,24034,3,610,Fashion,142,39,0.07,14,FALSE,43,66,28,Social Catalyst
1037,9/12/2024,Tier4+,2719,0,627,Fashion,1,0,0.1,115,FALSE,0,44,52,Low-Engagement Reseller
1038,7/15/2024,Tier3,7501,2,642,Home,89,24,0.07,27,TRUE,67,50,32,Niche Specialist
1039,6/5/2024,Tier4+,1018,0,318,Home,4,0,0.15,340,FALSE,1,30,95,Low-Engagement Reseller
1040,3/14/2023,Tier2,1352,0,475,Fashion,2,2,0.13,98,FALSE,1,37,49,Low-Engagement Reseller
1041,8/24/2023,Tier3,1856,0,442,Fashion,3,5,0.14,339,FALSE,1,36,95,Low-Engagement Reseller
1042,7/3/2024,Tier4+,1551,0,342,Beauty,2,0,0.14,146,TRUE,41,32,58,Low-Engagement Reseller
1043,6/28/2023,Tier4+,5210,1,529,Home,89,32,0.07,2,FALSE,27,44,29,Niche Specialist
1044,10/15/2024,Tier4+,2311,2,447,Fashion,92,25,0.05,30,TRUE,68,38,33,Social Catalyst
1045,9/22/2024,Tier2,1974,0,672,Mixed,2,0,0.05,115,FALSE,1,46,52,Low-Engagement Reseller
1046,9/3/2024,Tier3,2105,2,686,Fashion,176,56,0.12,26,FALSE,53,45,32,Social Catalyst
1047,12/12/2023,Tier2,4572,0,539,Home,3,2,0.05,77,FALSE,1,44,45,Niche Specialist
1048,7/22/2024,Tier2,1820,0,513,Beauty,3,0,0.08,162,TRUE,41,39,61,Low-Engagement Reseller
1049,11/14/2024,Tier2,6519,0,560,Beauty,0,0,0.14,334,FALSE,0,45,94,Ghost Reseller
1050,8/14/2023,Tier3,4299,0,539,Home,3,0,0.1,342,FALSE,1,43,96,Niche Specialist
1051,8/30/2023,Tier4+,2807,5,587,Home,183,53,0.08,7,TRUE,95,43,24,Niche Specialist
1052,5/27/2024,Tier3,2825,5,490,Fashion,66,17,0.08,26,TRUE,60,40,27,Social Catalyst
1053,3/16/2023,Tier4+,6822,0,722,Fashion,0,4,0.11,325,TRUE,40,52,92,Ghost Reseller
1054,2/18/2024,Tier2,1197,15,792,Home,144,43,0.07,20,TRUE,83,49,11,Low-Engagement Reseller
1055,5/8/2024,Tier4+,4351,0,656,Fashion,2,0,0.13,92,FALSE,1,46,48,Low-Engagement Reseller
1056,5/18/2024,Tier3,807,7,571,Home,62,19,0.08,11,FALSE,19,41,22,Low-Engagement Reseller
1057,12/8/2023,Tier3,1052,0,775,Fashion,2,0,0.15,47,TRUE,41,47,39,Low-Engagement Reseller
1058,6/15/2023,Tier3,808,0,524,Beauty,5,4,0.12,35,TRUE,42,38,37,Low-Engagement Reseller
1059,6/27/2023,Tier2,5849,5,518,Fashion,155,46,0.13,7,FALSE,47,43,24,Social Catalyst
1060,11/10/2024,Tier2,1097,2,735,Beauty,154,45,0.05,21,FALSE,46,48,31,Low-Engagement Reseller
1061,11/3/2024,Tier3,13220,5,763,Mixed,160,50,0.08,18,FALSE,48,60,26,Super-Spreader
1062,5/25/2023,Tier2,12634,0,540,Fashion,2,0,0.14,119,TRUE,41,50,53,Ghost Reseller
1063,9/17/2024,Tier4+,574,0,450,Home,4,6,0.1,334,TRUE,41,35,94,Low-Engagement Reseller
1064,7/20/2023,Tier3,1134,0,386,Mixed,5,0,0.08,163,FALSE,2,34,61,Low-Engagement Reseller
1065,4/23/2023,Tier2,2347,2,495,Beauty,21,4,0.11,3,FALSE,6,39,28,Niche Specialist
1066,3/31/2023,Tier3,7167,0,460,Beauty,4,3,0.11,223,FALSE,1,42,73,Ghost Reseller
1067,11/5/2023,Tier3,1274,4,330,Beauty,20,10,0.09,1,TRUE,46,32,24,Low-Engagement Reseller
1068,12/20/2024,Tier2,550,0,361,Mixed,5,1,0.11,94,FALSE,2,32,48,Low-Engagement Reseller
1069,5/10/2023,Tier2,2302,0,491,Fashion,1,5,0.11,184,FALSE,0,39,65,Low-Engagement Reseller
1070,4/2/2024,Tier3,2528,0,349,Fashion,4,0,0.08,169,TRUE,41,34,62,Low-Engagement Reseller
1071,1/19/2023,Tier4+,5062,1,601,Beauty,190,53,0.05,9,FALSE,57,47,30,Niche Specialist
1072,12/22/2023,Tier3,10059,2,507,Fashion,53,16,0.13,16,FALSE,16,46,30,Social Catalyst
1073,10/10/2024,Tier4+,4739,2,694,Fashion,101,34,0.07,17,FALSE,30,49,30,Social Catalyst
1074,5/4/2024,Tier3,3166,0,363,Home,2,3,0.07,323,FALSE,1,35,92,Niche Specialist
1075,4/13/2024,Tier3,1413,1,539,Fashion,65,15,0.06,27,FALSE,20,40,34,Social Catalyst
1076,5/27/2023,Tier3,3506,0,679,Fashion,0,0,0.08,236,FALSE,0,47,75,Low-Engagement Reseller
1077,1/15/2024,Tier3,12320,0,677,Fashion,2,6,0.1,60,FALSE,1,56,42,Ghost Reseller
1078,12/8/2023,Tier2,738,2,455,Home,14,9,0.13,29,TRUE,44,35,33,Low-Engagement Reseller
1079,3/13/2023,Tier3,4950,0,374,Fashion,0,3,0.05,45,TRUE,40,38,39,Low-Engagement Reseller
1080,5/5/2023,Tier2,2626,0,781,Fashion,0,0,0.14,242,TRUE,40,49,76,Low-Engagement Reseller
1081,12/29/2023,Tier3,2205,0,525,Beauty,0,0,0.15,132,TRUE,40,39,55,Niche Specialist
1082,8/5/2024,Tier3,678,0,403,Home,1,5,0.06,180,FALSE,0,35,65,Low-Engagement Reseller
1083,6/24/2023,Tier3,549,2,671,Beauty,98,30,0.14,23,TRUE,69,43,31,Low-Engagement Reseller
1084,1/27/2024,Tier4+,1646,0,354,Home,1,0,0.13,89,FALSE,0,32,47,Low-Engagement Reseller
1085,4/16/2023,Tier3,14235,5,338,Fashion,198,54,0.07,10,FALSE,59,46,24,Super-Spreader
1086,9/8/2023,Tier3,6756,0,540,Fashion,4,0,0.1,334,FALSE,1,45,94,Ghost Reseller
1087,8/25/2024,Tier4+,2179,0,793,Fashion,2,0,0.05,361,FALSE,1,51,99,Low-Engagement Reseller
1088,2/12/2023,Tier3,1649,2,500,Home,54,17,0.05,17,FALSE,16,39,30,Low-Engagement Reseller
1089,5/25/2023,Tier3,1429,1,477,Fashion,157,47,0.1,17,TRUE,87,37,32,Social Catalyst
1090,9/21/2023,Tier2,1164,0,416,Home,4,0,0.15,171,FALSE,1,34,63,Low-Engagement Reseller
1091,10/21/2023,Tier3,4351,0,403,Fashion,0,0,0.09,77,FALSE,0,38,45,Low-Engagement Reseller
1092,12/29/2023,Tier3,11266,0,622,Fashion,2,0,0.14,58,TRUE,41,52,41,Ghost Reseller
1093,7/10/2023,Tier4+,1428,0,795,Fashion,1,1,0.07,132,TRUE,40,50,55,Low-Engagement Reseller
1094,9/15/2023,Tier3,5323,0,723,Mixed,1,2,0.06,189,FALSE,0,51,66,Ghost Reseller
1095,1/19/2023,Tier3,3946,0,314,Home,5,0,0.05,270,FALSE,2,35,82,Niche Specialist
1096,12/22/2023,Tier3,1246,0,338,Fashion,1,0,0.07,144,TRUE,40,33,58,Low-Engagement Reseller
1097,1/29/2024,Tier4+,15339,1,404,Home,182,50,0.12,2,FALSE,55,48,29,Niche Specialist
1098,9/18/2023,Tier4+,3439,1,528,Fashion,120,41,0.05,28,TRUE,76,42,34,Social Catalyst
1099,4/19/2023,Tier4+,5856,0,560,Fashion,0,0,0.08,337,FALSE,0,45,95,Ghost Reseller
1100,5/4/2024,Tier4+,1578,0,445,Home,1,2,0.05,31,TRUE,40,37,36,Low-Engagement Reseller
1101,1/3/2024,Tier2,1891,0,638,Home,3,0,0.07,191,TRUE,41,44,67,Low-Engagement Reseller
1102,11/20/2024,Tier2,997,0,656,Fashion,2,0,0.14,78,TRUE,41,43,45,Low-Engagement Reseller
1103,4/29/2024,Tier4+,15692,0,795,Home,1,2,0.07,142,FALSE,0,64,57,Ghost Reseller
1104,11/16/2024,Tier4+,21263,1,479,Fashion,17,1,0.13,9,TRUE,45,57,30,Low-Engagement Reseller
1105,8/22/2023,Tier4+,3117,2,651,Fashion,138,39,0.06,2,TRUE,81,46,27,Social Catalyst
1106,11/12/2023,Tier4+,2958,0,302,Fashion,2,0,0.08,350,TRUE,41,33,97,Low-Engagement Reseller
1107,7/21/2024,Tier4+,1021,0,468,Home,2,6,0.11,249,TRUE,41,36,78,Low-Engagement Reseller
1108,10/7/2024,Tier4+,11053,0,320,Home,3,0,0.13,174,FALSE,1,40,63,Ghost Reseller
1109,12/5/2023,Tier2,8510,2,384,Home,94,28,0.07,11,FALSE,28,42,29,Niche Specialist
1110,7/25/2024,Tier2,1705,3,482,Mixed,109,28,0.05,1,FALSE,33,39,26,Low-Engagement Reseller
1111,1/5/2023,Tier2,10267,1,419,Fashion,145,46,0.11,23,FALSE,44,44,33,Social Catalyst
1112,8/8/2023,Tier3,1968,0,644,Fashion,3,0,0.15,84,TRUE,41,43,46,Low-Engagement Reseller
1113,9/19/2023,Tier3,2999,0,590,Mixed,1,1,0.11,268,TRUE,40,43,81,Low-Engagement Reseller
1114,11/12/2024,Tier4+,3079,0,794,Fashion,2,5,0.1,36,FALSE,1,51,37,Low-Engagement Reseller
1115,3/28/2023,Tier4+,1932,1,487,Fashion,72,26,0.09,10,FALSE,22,38,30,Social Catalyst
1116,8/12/2023,Tier3,2379,3,608,Home,92,26,0.11,26,FALSE,28,43,30,Niche Specialist
1117,5/2/2024,Tier3,19314,0,480,Fashion,0,0,0.15,256,TRUE,40,54,79,Ghost Reseller
1118,11/13/2023,Tier3,18866,4,470,Home,167,47,0.09,5,TRUE,90,55,25,Niche Specialist
1119,6/10/2023,Tier2,28920,0,529,Fashion,0,0,0.07,53,FALSE,0,67,40,Ghost Reseller
1120,8/18/2023,Tier2,9735,0,339,Home,3,5,0.13,311,TRUE,41,40,90,Ghost Reseller
1121,4/6/2024,Tier2,10879,1,463,Home,190,57,0.07,18,TRUE,97,47,32,Niche Specialist
1122,6/28/2023,Tier3,251,0,560,Fashion,5,0,0.09,174,TRUE,42,39,63,Low-Engagement Reseller
1123,9/13/2024,Tier2,4021,0,661,Fashion,5,0,0.13,59,FALSE,2,46,41,Low-Engagement Reseller
1124,12/2/2024,Tier4+,24497,1,601,Home,148,40,0.12,17,FALSE,44,65,32,Niche Specialist
1125,12/25/2024,Tier4+,9204,1,515,Beauty,195,64,0.08,22,FALSE,59,47,33,Niche Specialist
1126,3/15/2023,Tier3,380,0,648,Fashion,4,2,0.11,349,FALSE,1,42,97,Low-Engagement Reseller
1127,2/7/2023,Tier4+,8843,0,401,Fashion,5,0,0.12,109,TRUE,42,41,51,Ghost Reseller
1128,12/26/2024,Tier3,2144,0,642,Fashion,3,0,0.11,281,FALSE,1,44,84,Low-Engagement Reseller
1129,12/20/2023,Tier2,7138,0,454,Fashion,2,5,0.15,302,FALSE,1,41,88,Ghost Reseller
1130,5/3/2024,Tier3,6021,1,768,Beauty,41,12,0.1,0,TRUE,52,53,29,Niche Specialist
1131,10/26/2023,Tier3,5401,0,750,Fashion,0,5,0.15,197,TRUE,40,51,68,Ghost Reseller
1132,12/5/2024,Tier4+,9355,1,706,Fashion,130,38,0.06,15,FALSE,39,55,31,Social Catalyst
1133,10/27/2023,Tier3,15082,0,693,Fashion,5,0,0.1,342,TRUE,42,59,96,Ghost Reseller
1134,7/17/2023,Tier3,4196,0,435,Beauty,1,1,0.1,166,TRUE,40,39,62,Niche Specialist
1135,2/2/2023,Tier4+,4099,1,347,Fashion,42,10,0.1,8,FALSE,13,35,30,Low-Engagement Reseller
1136,9/3/2024,Tier2,2504,0,455,Home,4,1,0.12,196,TRUE,41,37,68,Niche Specialist
1137,9/3/2023,Tier4+,1075,5,491,Fashion,11,0,0.06,5,FALSE,3,38,23,Low-Engagement Reseller
1138,12/6/2024,Tier3,4481,0,327,Beauty,0,0,0.11,40,TRUE,40,35,38,Niche Specialist
1139,11/2/2023,Tier3,8636,0,799,Fashion,1,3,0.13,297,FALSE,0,56,87,Ghost Reseller
1140,6/6/2023,Tier2,185,1,538,Mixed,39,9,0.09,16,TRUE,52,39,32,Low-Engagement Reseller
1141,5/25/2024,Tier4+,2796,1,614,Home,101,27,0.1,2,FALSE,30,44,29,Niche Specialist
1142,7/23/2024,Tier3,1314,1,319,Home,156,51,0.14,21,TRUE,87,30,33,Low-Engagement Reseller
1143,6/7/2023,Tier4+,14493,4,513,Mixed,125,40,0.14,21,FALSE,38,51,28,Low-Engagement Reseller
1144,11/30/2023,Tier3,702,0,637,Beauty,1,0,0.12,226,TRUE,40,42,73,Low-Engagement Reseller
1145,7/22/2023,Tier3,1023,2,797,Beauty,191,62,0.11,12,FALSE,57,49,29,Low-Engagement Reseller
1146,8/31/2023,Tier3,2070,0,425,Home,0,1,0.08,85,FALSE,0,36,46,Niche Specialist
1147,7/14/2024,Tier3,1924,0,723,Home,1,3,0.13,203,FALSE,0,46,69,Low-Engagement Reseller
1148,1/24/2024,Tier3,6821,0,789,Beauty,4,1,0.1,66,FALSE,1,54,43,Ghost Reseller
1149,12/16/2024,Tier3,1899,1,730,Home,180,59,0.14,18,TRUE,94,46,32,Low-Engagement Reseller
1150,6/13/2024,Tier3,6030,2,611,Mixed,88,24,0.1,11,FALSE,26,47,29,Low-Engagement Reseller
1151,1/7/2024,Tier3,18865,0,743,Home,2,1,0.08,72,TRUE,41,65,44,Ghost Reseller
1152,5/20/2023,Tier4+,13882,2,495,Fashion,163,46,0.12,19,FALSE,49,50,31,Social Catalyst
1153,12/1/2023,Tier4+,2908,0,346,Fashion,4,0,0.06,46,FALSE,1,35,39,Low-Engagement Reseller
1154,9/28/2023,Tier3,8987,0,504,Home,5,7,0.07,234,FALSE,2,46,75,Ghost Reseller
1155,7/11/2024,Tier3,4428,4,523,Fashion,186,59,0.13,0,FALSE,56,41,24,Social Catalyst
1156,6/16/2023,Tier2,5258,2,513,Fashion,96,27,0.09,0,FALSE,29,43,27,Social Catalyst
1157,9/9/2023,Tier3,7720,0,554,Fashion,4,6,0.09,51,TRUE,41,47,40,Ghost Reseller
1158,3/26/2023,Tier3,936,0,575,Home,5,0,0.05,276,TRUE,42,41,83,Low-Engagement Reseller
1159,12/23/2024,Tier4+,29806,0,625,Fashion,1,1,0.12,131,FALSE,0,71,55,Ghost Reseller
1160,5/9/2024,Tier4+,2521,1,423,Beauty,10,6,0.06,5,FALSE,3,37,29,Niche Specialist
1161,11/3/2023,Tier2,1187,0,509,Beauty,1,0,0.1,236,FALSE,0,38,75,Low-Engagement Reseller
1162,6/8/2024,Tier2,1706,1,763,Beauty,173,48,0.13,29,FALSE,52,48,34,Low-Engagement Reseller
1163,3/24/2023,Tier3,1991,0,719,Fashion,4,0,0.13,124,FALSE,1,46,54,Low-Engagement Reseller
1164,10/4/2024,Tier3,925,0,706,Beauty,3,0,0.08,207,FALSE,1,46,70,Low-Engagement Reseller
1165,10/18/2023,Tier4+,6684,2,688,Fashion,147,42,0.15,4,TRUE,84,49,28,Social Catalyst
1166,9/18/2024,Tier3,987,4,537,Fashion,10,0,0.06,5,TRUE,43,40,25,Low-Engagement Reseller
1167,12/3/2023,Tier2,2766,2,569,Fashion,184,59,0.11,3,TRUE,95,42,28,Social Catalyst
1168,6/1/2023,Tier4+,5119,0,302,Beauty,3,0,0.12,63,FALSE,1,34,42,Ghost Reseller
1169,1/2/2023,Tier3,15942,0,762,Fashion,4,0,0.15,231,TRUE,41,62,74,Ghost Reseller
1170,8/10/2023,Tier4+,2835,0,302,Fashion,1,4,0.15,257,FALSE,0,31,79,Low-Engagement Reseller
1171,3/22/2024,Tier4+,16729,0,626,Fashion,5,0,0.1,117,TRUE,42,58,52,Ghost Reseller
1172,5/3/2024,Tier3,3117,0,414,Fashion,5,1,0.09,274,FALSE,2,37,83,Low-Engagement Reseller
1173,6/17/2024,Tier2,3627,5,787,Home,61,18,0.12,19,FALSE,18,51,26,Niche Specialist
1174,2/12/2023,Tier4+,3428,0,574,Fashion,4,3,0.08,58,TRUE,41,43,41,Low-Engagement Reseller
1175,8/1/2024,Tier2,1002,2,524,Fashion,145,43,0.07,2,TRUE,84,39,27,Social Catalyst
1176,3/3/2023,Tier3,3524,2,382,Fashion,74,22,0.05,28,FALSE,22,37,32,Social Catalyst
1177,2/21/2024,Tier4+,930,4,582,Home,184,56,0.12,22,FALSE,55,40,28,Low-Engagement Reseller
1178,5/27/2024,Tier2,1805,2,557,Fashion,126,41,0.09,22,FALSE,38,41,31,Social Catalyst
1179,10/25/2024,Tier3,3564,0,427,Fashion,5,0,0.14,293,FALSE,2,37,86,Low-Engagement Reseller
1180,1/25/2024,Tier3,693,0,684,Fashion,4,4,0.13,142,TRUE,41,44,57,Low-Engagement Reseller
1181,8/4/2024,Tier2,10890,0,597,Fashion,1,1,0.14,285,TRUE,40,50,85,Ghost Reseller
1182,4/17/2023,Tier3,1586,2,419,Home,24,4,0.14,7,TRUE,47,34,28,Low-Engagement Reseller
1183,7/6/2024,Tier3,2583,2,553,Fashion,173,50,0.11,17,FALSE,52,41,30,Social Catalyst
1184,8/28/2023,Tier3,15240,0,348,Fashion,3,5,0.06,80,TRUE,41,47,45,Ghost Reseller
1185,6/1/2024,Tier3,13902,0,375,Fashion,4,4,0.05,103,TRUE,41,47,50,Ghost Reseller
1186,3/12/2023,Tier3,1452,0,477,Fashion,2,0,0.09,301,FALSE,1,38,88,Low-Engagement Reseller
1187,12/8/2023,Tier4+,9605,0,690,Fashion,5,0,0.08,32,FALSE,2,54,36,Ghost Reseller
1188,2/26/2024,Tier3,7313,0,687,Home,5,2,0.08,87,FALSE,2,51,47,Ghost Reseller
1189,9/22/2024,Tier2,2180,0,441,Fashion,1,3,0.12,91,TRUE,40,36,47,Low-Engagement Reseller
1190,11/9/2024,Tier4+,8203,2,631,Fashion,180,49,0.13,21,FALSE,54,49,31,Social Catalyst
1191,11/27/2024,Tier3,2622,1,478,Fashion,17,7,0.1,23,FALSE,5,39,33,Low-Engagement Reseller
1192,3/10/2023,Tier2,2777,0,751,Fashion,4,3,0.15,44,TRUE,41,48,38,Low-Engagement Reseller
1193,6/24/2023,Tier3,2369,2,550,Beauty,162,51,0.08,17,TRUE,89,41,30,Niche Specialist
1194,1/20/2023,Tier4+,13597,0,409,Fashion,4,0,0.15,259,TRUE,41,46,80,Ghost Reseller
1195,2/1/2024,Tier2,31745,0,685,Fashion,2,0,0.13,354,TRUE,41,75,98,Ghost Reseller
1196,8/27/2023,Tier4+,709,3,606,Fashion,161,47,0.11,28,TRUE,88,41,31,Social Catalyst
1197,11/15/2024,Tier3,8426,1,641,Fashion,120,39,0.06,13,FALSE,36,51,31,Social Catalyst
1198,8/22/2024,Tier3,2252,0,440,Fashion,2,6,0.08,151,FALSE,1,37,59,Low-Engagement Reseller
1199,12/3/2023,Tier3,17768,0,563,Fashion,2,0,0.07,187,FALSE,1,57,66,Ghost Reseller
1200,10/31/2024,Tier2,2091,0,705,Fashion,5,0,0.15,353,FALSE,2,46,98,Low-Engagement Reseller
1201,4/25/2023,Tier2,3919,2,646,Fashion,66,20,0.11,0,TRUE,60,46,27,Social Catalyst
1202,8/12/2023,Tier3,3379,0,643,Fashion,2,5,0.05,109,TRUE,41,46,51,Low-Engagement Reseller
1203,10/16/2023,Tier2,819,2,720,Beauty,60,21,0.1,20,TRUE,58,46,31,Low-Engagement Reseller
1204,8/21/2023,Tier3,3349,0,538,Beauty,1,0,0.07,171,FALSE,0,42,63,Niche Specialist
1205,5/17/2024,Tier4+,1215,3,566,Home,98,27,0.11,29,TRUE,69,40,31,Low-Engagement Reseller
1206,2/1/2024,Tier4+,7915,0,323,Home,5,6,0.06,158,FALSE,2,39,60,Ghost Reseller
1207,10/29/2023,Tier3,755,0,337,Fashion,0,3,0.11,344,FALSE,0,31,96,Low-Engagement Reseller
1208,9/13/2023,Tier2,1939,1,500,Fashion,143,41,0.14,22,FALSE,43,38,33,Social Catalyst
1209,9/20/2023,Tier4+,2244,1,315,Beauty,33,14,0.08,8,FALSE,10,32,30,Niche Specialist
1210,6/5/2023,Tier4+,6641,0,373,Beauty,2,4,0.1,208,FALSE,1,39,70,Ghost Reseller
1211,6/28/2024,Tier3,2664,0,563,Mixed,4,3,0.12,298,TRUE,41,41,87,Low-Engagement Reseller
1212,11/1/2024,Tier2,11659,0,578,Fashion,3,0,0.12,317,FALSE,1,51,91,Ghost Reseller
1213,11/17/2024,Tier4+,21511,0,504,Beauty,3,0,0.15,255,FALSE,1,57,79,Ghost Reseller
1214,1/2/2024,Tier3,1788,0,740,Fashion,4,0,0.11,58,FALSE,1,47,41,Low-Engagement Reseller
